정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
가좌진주아파트,42100,13294,28320,13248,28320,46,1342
가좌체육공원,42058,7238,1065,7194,1065,44,267
가좌초등학교,42069,3317,4103,3311,4103,6,239
가좌초등학교,42070,4286,2277,4281,2277,5,211
가좌테니스장,37454,2164,1024,2164,1024,0,102
가좌테니스장,37457,800,1197,799,1197,1,64
가좌현대아파트,42130,7615,1938,7607,1938,8,308
가좌현대아파트,42133,587,7766,585,7766,2,269
가좌홈플러스(쌍마아파트),42101,10718,7174,10669,7174,49,577
가좌홈플러스(쌍마아파트),42103,7517,11946,7478,11946,39,627
가좌환경사업소,42631,7726,4653,7720,4653,6,399
가좌환경사업소 북측,89341,222,359,222,359,0,18
가좌환경사업소북측,89342,19,252,19,252,0,8
가천대학교,38270,746,792,746,792,0,49
가천대학교,38284,6780,2433,6780,2433,0,297
가천대학교(노인복지회관),38269,463,831,463,831,0,41
가천의대,43237,13,50,13,50,0,2
가천의대,43897,9,2,8,2,1,0
가톨릭대,43156,3,0,3,0,0,0
가톨릭대,43325,0,55,0,55,0,1
가현오일뱅크,42734,43,15,43,15,0,1
가현중학교,42722,2381,1663,2366,1663,15,130
가현초교앞(루에블리아파트),89242,1907,3571,1892,3571,15,176
가현초교앞(센트럴타운아파트),89243,5047,1496,5026,1496,21,211
각곡,43602,2,67,2,67,0,2
각곡,43772,147,14,146,14,1,5
간석4거리,39538,244,241,242,241,2,15
간석4동새마을금고,39343,3014,5914,2984,5914,30,288
간석4동새마을금고,39346,3034,2385,3017,2385,17,174
간석4동행정복지센터,39403,3793,6736,3793,6736,0,339
간석4동행정복지센터,39412,4177,2524,4177,2524,0,216
간석금호어울림아파트,39334,24931,12831,24855,12831,76,1218
간석남부역,37429,3629,920,3629,920,0,146
간석남부역,37435,6152,2241,6108,2241,44,270
간석남부역,37529,1465,3489,1465,3489,0,159
간석동용광경로당,39394,828,580,813,580,15,45
간석래미안.자이,39333,15582,17395,15522,17395,60,1063
간석북부역,39806,4096,48,4039,48,57,133
간석북부역,39807,82,2819,41,2819,41,93
간석북부역·우성1차,39368,12180,4433,12180,4433,0,535
간석북부역·우성1차,39370,4617,9896,4617,9896,0,468
간석사거리,39413,12283,8710,12272,8710,11,677
간석사거리,39414,4568,9410,4560,9410,8,450
간석사거리,39430,2407,2412,2378,2412,29,155
간석사거리(상인천중학교),39422,11836,26931,11745,26931,91,1250
간석사거리(상인천중학교),39426,30834,18109,30734,18109,100,1578
간석시장,39434,11603,29829,11515,29829,88,1336
간석시장,39436,54006,29597,53816,29597,190,2696
간석시장,39437,14628,20717,14593,20717,35,1140
간석오거리,39460,14680,12469,14636,12469,44,875
간석오거리,39597,3903,3657,3892,3657,11,243
간석오거리(교원공제조합),39444,31691,27317,31621,27317,70,1903
간석오거리(인천웨딩홀),39406,8383,11909,8353,11909,30,654
간석오거리(인천웨딩홀),39423,33637,20286,33561,20286,76,1739
간석오거리역(7번출구),39447,16705,32239,16687,32239,18,1578
간석오거리역(8번출구),39449,59685,70676,59619,70676,66,4205
간석지구대,39535,497,642,490,642,7,36
간석지구대,39536,557,605,540,605,17,37
간석풍림아파트,92053,692,590,675,590,17,41
간석한신더휴아파트맞은편,37447,2435,529,2435,529,0,95
간재울초등학교,42347,4090,3833,4088,3833,2,255
간촌,43504,14,13,9,13,5,0
간촌,43518,29,16,29,16,0,1
갈산대동아파트,40550,367,721,367,721,0,35
갈산동아아파트,40567,1520,1596,1520,1596,0,100
갈산동입구,40622,35,2681,35,2681,0,87
갈산동천주교회,40652,755,5012,755,5012,0,186
갈산동천주교회맞은편,40650,6364,5247,6354,5247,10,374
갈산두산아파트,40544,3903,5727,3900,5727,3,310
갈산사거리,40631,2555,4848,2555,4848,0,238
갈산사거리,40634,3289,4731,3289,4731,0,258
갈산새마을금고,40635,8353,2169,8353,2169,0,339
갈산시장,40628,6993,6135,6989,6135,4,423
갈산시장.갈산도서관,40629,2095,5529,2095,5529,0,245
갈산역,40601,34874,12133,34872,12133,2,1516
갈산역,40602,10299,40154,10296,40154,3,1627
갈산역(1번출구),40604,20932,6624,20905,6624,27,888
갈산역(부평4공단)4번출구,40606,6256,16473,6245,16473,11,733
갈산주공1단지,40578,3004,2276,3004,2276,0,170
갈산주공1단지105동,40813,3993,2387,3991,2387,2,205
갈산주공2단지,40562,427,1177,427,1177,0,51
