정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
셀트리온(주),38319,162,495,161,495,1,21
셀트리온(주)앞,38513,429,315,429,315,0,24
셀트리온2공장앞,38474,574,610,574,610,0,38
셀트리온2공장앞,38475,1358,523,1357,523,1,60
소게,43185,2,104,2,104,0,3
소게,43243,82,1,78,1,4,2
소구월사거리,39266,5228,11303,5201,11303,27,533
소구월사거리,39268,4645,3413,4610,3413,35,259
소나무,43396,51,0,48,0,3,1
소나무,43805,1,53,1,53,0,1
소담(장미)마을입구,90236,0,1,0,1,0,0
소담(장미)마을입구,90237,2,2,2,2,0,0
소동,43412,83,0,81,0,2,2
소동,43829,10,172,10,172,0,5
소래도서관,39829,17,477,5,477,12,15
소래산등산로입구,39770,0,17,0,17,0,0
소래산등산로입구,39771,6,4,6,4,0,0
소래산입구,39668,14,317,14,317,0,10
소래산입구,39670,400,8,400,8,0,13
소래역사관,39816,141,1527,135,1527,6,53
소래역사관,39817,2601,152,2578,152,23,88
소래초등학교,39615,258,322,258,322,0,18
소래포구,39815,1079,102,1071,102,8,38
소래포구,39818,97,2651,94,2651,3,88
소래포구 해오름광장,92074,102,1266,100,1266,2,44
소래포구역,39647,3352,1603,3352,1603,0,159
소래포구역,39648,2507,5113,2506,5113,1,245
소래포구역,39710,1916,53,1896,53,20,63
소래포구역앞,92063,2015,1150,2015,1150,0,102
소래포구역종점,39793,509,25,501,25,8,17
소래포구입구,70009,803,170,792,170,11,31
소래포구입구(논현푸르지오A),39109,329,968,320,968,9,41
소래포구입구(논현푸르지오A),39114,284,176,283,176,1,14
소래풍림아파트,39122,2775,822,2768,822,7,116
소리공원(하모니로),38721,555,761,553,761,2,42
소리공원(하모니로),38722,250,448,249,448,1,22
소망탑빌라,40116,9,348,9,348,0,11
소방대앞,90022,11,69,11,69,0,2
소방대앞,90023,137,19,133,19,4,5
소산서원,70011,197,715,194,715,3,29
소산서원,70012,219,381,217,381,2,19
소장전,43996,17,31,17,31,0,1
소장전,43997,10,6,10,6,0,0
소촌마을,41662,214,14,214,14,0,7
속아지,43344,42,0,39,0,3,1
속아지,43848,0,19,0,19,0,0
솔밭마을,38193,936,273,935,273,1,39
솔빛마을,36034,8830,9382,8796,9382,34,587
솔빛마을,36037,5830,6626,5801,6626,29,401
솔빛마을주공아파트,36049,10628,6871,10612,6871,16,564
