시즌,에피소드,에피소드 이름,날짜,평점
8,10,The Champagne Reflection,"Thu, Nov 20, 2014",7.0
8,11,The Clean Room Infiltration,"Thu, Dec 11, 2014",7.4
8,12,The Space Probe Disintegration,"Thu, Jan 8, 2015",7.2
8,13,The Anxiety Optimization,"Thu, Jan 29, 2015",7.4
8,14,The Troll Manifestation,"Thu, Feb 5, 2015",8.0
8,15,The Comic Book Store Regeneration,"Thu, Feb 19, 2015",8.0
8,16,The Intimacy Acceleration,"Thu, Feb 26, 2015",7.8
8,17,The Colonization Application,"Thu, Mar 5, 2015",7.5
8,18,The Leftover Thermalization,"Thu, Mar 12, 2015",7.3
8,19,The Skywalker Incursion,"Thu, Apr 2, 2015",7.5
8,20,The Fortification Implementation,"Thu, Apr 9, 2015",7.5
8,21,The Communication Deterioration,"Thu, Apr 16, 2015",7.0
8,22,The Graduation Transmission,"Thu, Apr 23, 2015",7.3
8,23,The Maternal Combustion,"Thu, Apr 30, 2015",7.5
8,24,The Commitment Determination,"Thu, May 7, 2015",7.9
9,1,The Matrimonial Momentum,"Mon, Sep 21, 2015",6.8
9,2,The Separation Oscillation,"Mon, Sep 28, 2015",7.3
9,3,The Bachelor Party Corrosion,"Mon, Oct 5, 2015",7.7
9,4,The 2003 Approximation,"Mon, Oct 12, 2015",7.4
9,5,The Perspiration Implementation,"Mon, Oct 19, 2015",7.4
9,6,The Helium Insufficiency,"Mon, Oct 26, 2015",7.2
9,7,The Spock Resonance,"Thu, Nov 5, 2015",7.9
9,8,The Mystery Date Observation,"Thu, Nov 12, 2015",7.9
9,9,The Platonic Permutation,"Thu, Nov 19, 2015",7.8
9,10,The Earworm Reverberation,"Thu, Dec 10, 2015",8.3
9,11,The Opening Night Excitation,"Thu, Dec 17, 2015",9.0
9,12,The Sales Call Sublimation,"Thu, Jan 7, 2016",7.4
9,13,The Empathy Optimization,"Thu, Jan 14, 2016",7.4
9,14,The Meemaw Materialization,"Thu, Feb 4, 2016",7.5
9,15,The Valentino Submergence,"Thu, Feb 11, 2016",7.5
9,16,The Positive Negative Reaction,"Thu, Feb 18, 2016",7.4
9,17,The Celebration Experimentation,"Thu, Feb 25, 2016",7.5
9,18,The Application Deterioration,"Thu, Mar 10, 2016",7.5
9,19,The Solder Excursion Diversion,"Thu, Mar 31, 2016",7.4
9,20,The Big Bear Precipitation,"Thu, Apr 7, 2016",7.4
9,21,The Viewing Party Combustion,"Thu, Apr 21, 2016",7.4
9,22,The Fermentation Bifurcation,"Thu, Apr 28, 2016",7.4
9,23,The Line Substitution Solution,"Thu, May 5, 2016",7.4
9,24,The Convergence Convergence,"Thu, May 12, 2016",7.8
10,1,The Conjugal Conjecture,"Mon, Sep 19, 2016",7.7
10,2,The Military Miniaturization,"Mon, Sep 26, 2016",7.3
10,3,The Dependence Transcendence,"Mon, Oct 3, 2016",7.2
10,4,The Cohabitation Experimentation,"Mon, Oct 10, 2016",7.9
10,5,The Hot Tub Contamination,"Mon, Oct 17, 2016",7.4
10,6,The Fetal Kick Catalyst,"Thu, Oct 27, 2016",7.4
10,7,The Veracity Elasticity,"Thu, Nov 3, 2016",7.9
10,8,The Brain Bowl Incubation,"Thu, Nov 10, 2016",8.0
10,9,The Geology Elevation,"Thu, Nov 17, 2016",7.4
10,10,The Property Division Collision,"Thu, Dec 1, 2016",7.3
10,11,The Birthday Synchronicity,"Thu, Dec 15, 2016",7.5
10,12,The Holiday Summation,"Thu, Jan 5, 2017",7.3
10,13,The Romance Recalibration,"Thu, Jan 19, 2017",6.9
10,14,The Emotion Detection Automation,"Thu, Feb 2, 2017",7.2
10,15,The Locomotion Reverberation,"Thu, Feb 9, 2017",7.3
10,16,The Allowance Evaporation,"Thu, Feb 16, 2017",7.1
10,17,The Comic-Con Conundrum,"Thu, Feb 23, 2017",7.4
10,18,The Escape Hatch Identification,"Thu, Mar 9, 2017",7.1
10,19,The Collaboration Fluctuation,"Thu, Mar 30, 2017",7.1
10,20,The Recollection Dissipation,"Thu, Apr 6, 2017",7.2
10,21,The Separation Agitation,"Thu, Apr 13, 2017",7.2
